age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
51,5,123011,9,0,2,3,4,1,0,0,40,38,0
51,3,169364,10,0,5,1,4,0,0,0,40,20,0
50,1,151143,9,4,0,3,4,0,0,0,40,38,0
32,3,312667,13,3,3,1,4,1,2174,0,55,38,0
58,0,30111,10,6,9,4,0,0,0,0,40,38,0
49,3,133729,10,2,7,0,4,1,0,0,17,38,0
21,3,195919,6,4,5,1,3,1,0,0,40,5,0
25,3,74389,13,4,3,1,1,0,0,0,40,38,0
48,3,115784,5,2,2,0,4,1,0,0,44,38,0
71,4,146365,10,6,3,1,4,0,0,0,24,38,0
22,8,204935,9,4,14,3,4,1,0,0,40,38,0
67,4,168370,10,2,11,0,4,1,0,0,40,38,0
33,3,231822,6,5,11,4,4,0,0,0,38,38,0
55,3,119751,14,4,9,2,1,0,0,0,40,36,0
25,3,134113,13,4,0,1,4,1,0,0,30,38,0
32,3,99646,9,2,13,0,4,1,0,0,50,38,0
25,3,430084,10,4,13,1,2,1,0,0,40,38,0
21,3,238917,3,2,7,0,4,1,0,0,40,25,0
37,4,126675,13,4,3,3,4,1,0,0,40,38,0
42,3,95998,13,0,3,1,4,1,0,0,45,38,0
39,3,169249,9,5,7,2,2,1,0,0,40,38,0
59,3,370615,9,6,0,4,4,0,0,0,60,38,0
60,0,55621,12,2,7,0,2,1,0,0,40,38,0
33,3,199248,10,2,9,5,4,0,0,0,40,38,0
32,3,36592,7,4,4,4,4,1,0,0,50,38,0
32,3,162604,9,4,6,2,2,1,0,0,40,38,0
61,5,268797,9,2,7,5,2,0,0,0,17,38,0
61,1,321117,9,2,10,0,4,1,0,0,40,38,0
21,3,117606,10,4,9,1,4,0,0,0,40,38,0
21,3,35603,9,4,10,1,2,1,0,0,11,38,0
53,1,231196,9,2,0,0,4,1,0,0,40,38,0
29,5,70100,9,2,4,0,4,1,0,0,80,38,0
27,3,94064,11,0,6,1,4,1,0,0,40,38,0
25,3,86872,9,2,11,0,4,1,0,0,40,38,0
28,3,140108,14,0,9,1,4,0,0,0,50,38,0
31,3,407930,4,2,5,0,4,1,0,0,40,38,0
33,3,37274,13,2,9,0,4,1,0,0,65,38,0
29,3,79481,10,4,12,1,4,0,0,0,40,38,0
25,3,156163,10,4,0,3,2,0,0,0,40,41,0
59,3,157831,9,0,0,1,4,0,0,0,16,38,0
30,3,116508,9,2,2,0,4,1,0,0,40,10,0
69,4,69209,13,2,6,0,4,1,3818,0,30,38,0
21,3,143062,9,4,6,3,4,1,0,0,40,38,0
20,3,164775,3,4,5,2,4,1,0,0,40,12,0
33,3,111363,13,2,2,0,4,1,0,0,45,38,0
21,8,123983,10,4,14,3,3,1,0,0,20,38,0
19,1,220558,7,4,5,2,4,1,0,0,35,38,0
20,3,103277,10,4,0,3,4,0,0,0,35,38,0
48,8,136455,10,0,14,1,4,0,0,0,16,38,0
24,3,86065,9,4,13,4,4,0,0,0,40,25,0
28,3,142712,9,4,5,3,4,1,0,0,40,38,0
26,3,229977,5,2,2,0,4,1,0,0,35,38,0
23,3,199884,9,4,0,4,4,0,0,0,45,38,0
32,3,123430,9,2,4,0,4,1,0,0,65,38,0
47,3,304133,10,2,3,0,4,1,0,0,45,38,0
27,3,72443,9,4,12,1,4,1,0,0,40,38,0
69,8,156387,9,2,14,0,4,1,0,0,40,38,0
18,3,260801,9,4,5,3,4,1,0,0,20,38,0
25,3,352057,9,4,13,1,4,1,0,0,65,38,0
19,3,175820,7,4,5,3,4,1,0,0,25,38,0
21,3,121023,10,4,7,3,4,0,0,0,9,38,0
33,3,182714,13,4,3,1,4,0,0,0,40,38,0
65,3,161400,7,6,7,4,3,1,0,0,40,38,0
43,3,323713,9,2,6,0,4,1,0,0,40,38,0
36,3,177616,3,5,6,1,4,0,0,0,40,38,0
41,3,139907,11,5,2,1,4,1,0,0,30,38,0
46,3,145290,10,2,2,0,4,1,0,0,40,38,0
34,6,156292,9,4,5,1,2,1,0,0,40,38,0
53,5,302847,9,2,11,0,4,1,0,0,35,38,0
24,3,258700,3,4,4,2,2,1,0,0,40,25,0
42,3,340885,9,0,4,1,4,1,0,0,44,38,0
61,5,50483,4,2,4,0,4,1,0,0,56,38,0
19,3,101549,10,4,7,3,4,1,0,0,15,38,0
63,5,177832,9,2,4,0,4,1,0,0,80,38,0
28,5,294398,10,4,6,1,2,1,0,0,40,38,0
57,3,151474,9,0,5,2,4,0,0,0,40,38,0
40,3,239708,7,2,13,0,4,1,0,0,55,38,0
26,3,109570,10,5,11,4,4,0,0,0,35,38,0
31,3,139753,13,3,0,1,4,0,0,0,40,38,0
39,1,134367,9,4,0,3,4,0,0,0,35,38,0
20,3,175800,10,4,0,1,4,0,0,0,25,38,0
38,3,35429,9,2,5,0,4,1,0,2042,40,38,0
18,3,110230,6,4,7,3,4,1,0,0,11,38,0
19,3,264593,10,4,11,2,4,1,0,0,40,38,0
22,3,303170,10,4,8,3,4,0,0,0,28,38,0
34,5,581025,5,4,7,3,2,1,0,0,38,38,0
36,3,143152,4,2,6,5,4,0,0,0,40,38,0
45,3,72618,11,0,3,1,4,1,0,0,60,38,0
35,3,498216,13,0,3,4,4,0,0,0,40,38,0
30,3,271933,9,0,0,1,4,0,0,0,40,38,0
40,3,331651,10,5,7,1,4,0,0,0,40,38,0
65,4,81413,9,2,4,0,4,1,0,2352,65,38,0
38,3,216572,9,5,8,4,2,0,0,0,40,38,0
39,3,93174,9,0,13,3,4,1,0,0,60,38,0
34,3,473133,9,2,11,0,4,1,0,0,60,38,0
22,3,293324,9,4,3,1,4,1,0,0,40,38,0
35,3,107302,14,2,11,0,4,1,0,0,40,18,0
31,3,47151,9,4,7,1,4,0,0,0,56,38,0
53,3,22154,10,2,2,0,4,1,0,0,40,38,0
45,3,149640,10,2,2,0,4,1,0,0,40,38,0
24,6,330836,9,2,10,0,4,1,0,0,40,38,0
17,3,40432,6,4,0,3,4,0,0,0,4,38,0
44,6,204361,14,4,3,1,4,0,0,0,40,38,0
21,3,138816,9,4,5,3,2,1,0,0,20,38,0
28,3,195520,11,4,0,2,4,1,0,0,40,20,0
29,3,190765,9,0,6,1,4,1,0,0,44,38,0
59,0,43280,10,4,3,3,2,0,0,0,40,38,0
34,3,182691,9,0,3,3,4,1,0,0,44,38,0
61,0,91726,14,2,12,5,4,0,0,0,40,38,1
39,3,76417,9,2,4,0,4,1,0,0,40,38,0
26,8,217300,10,4,14,1,4,0,0,0,36,38,0
43,0,25005,14,2,5,0,4,1,5013,0,12,38,0
37,3,234807,9,0,0,4,4,0,0,0,37,38,0
42,3,340885,9,4,2,1,4,1,0,0,50,38,0
45,4,179030,13,2,7,2,1,0,0,0,35,34,0
41,5,154374,10,0,7,4,4,1,0,0,45,38,0
24,0,210736,9,4,0,1,4,0,0,1974,40,38,0
48,3,165267,6,2,4,0,2,1,0,0,40,38,0
56,3,257555,10,2,11,0,4,1,0,0,40,38,0
43,4,320984,10,2,6,0,4,1,0,0,50,38,0
19,5,220901,10,4,13,3,4,1,0,0,30,38,0
51,5,115851,9,2,2,0,4,1,0,0,40,38,0
59,3,170988,9,2,11,0,4,1,0,0,55,38,0
20,8,127914,10,4,14,2,4,1,0,0,40,38,0
28,3,186792,13,2,0,0,4,1,0,0,40,38,0
20,3,218962,9,4,6,1,4,1,0,0,40,38,0
51,3,229272,9,0,7,2,2,1,0,0,32,13,0
33,3,460408,9,4,11,1,4,1,3325,0,50,38,0
24,3,184756,13,4,3,1,4,0,0,0,40,38,0
62,3,200332,9,2,6,0,4,1,0,0,40,38,0
39,3,111000,14,4,7,4,4,0,0,0,35,38,0
26,0,171928,11,4,2,3,4,1,0,0,50,23,0
31,3,193215,10,2,3,3,4,1,0,0,50,38,0
43,3,75742,9,2,6,0,4,1,0,0,40,38,0
27,3,178778,9,2,13,0,4,1,0,0,40,38,0
59,5,78020,4,2,3,0,4,1,0,0,40,38,0
72,5,379376,15,2,9,0,4,1,0,0,35,38,0
33,3,91666,9,2,6,0,4,1,0,0,40,38,0
49,3,198126,4,4,4,1,4,1,0,0,40,38,0
28,3,264498,13,4,9,1,4,0,0,0,40,38,0
56,6,274111,14,0,9,1,4,1,0,1669,40,38,0
26,3,124483,13,4,9,1,1,1,0,0,25,18,0
23,3,99543,8,4,13,1,4,1,0,0,46,38,0
36,3,160120,9,2,0,0,1,1,0,0,40,39,0
23,3,141427,13,4,3,1,2,0,0,0,40,38,0
31,3,184889,9,4,7,3,2,0,0,0,20,38,0
44,0,404599,9,0,0,4,2,0,0,0,40,38,0
25,3,146117,10,4,6,1,4,1,0,0,42,38,0
41,3,310255,9,2,11,0,4,1,0,0,40,38,0
21,5,318987,11,2,4,0,4,1,0,0,40,38,0
23,3,113735,10,0,0,2,4,0,0,0,20,38,0
17,3,297246,7,4,8,3,4,0,0,0,9,38,0
33,1,161942,13,4,0,1,4,0,1055,0,40,38,0
33,3,408813,13,4,0,1,4,0,0,0,50,38,0
39,3,117166,6,2,6,0,4,1,2635,0,40,38,0
35,3,237943,13,2,3,0,4,1,0,0,40,38,0
50,3,177487,9,2,2,0,4,1,0,0,40,38,0
55,3,158702,6,3,2,1,4,1,0,0,50,38,0
50,1,50048,14,2,9,0,4,1,0,0,52,38,1
27,3,104423,9,4,6,3,4,1,0,0,40,38,0
20,6,113588,9,4,12,3,4,0,0,0,24,38,0
19,3,391403,10,4,0,3,4,1,0,0,30,38,0
26,3,388812,10,4,11,1,2,1,0,0,35,38,0
23,3,205653,13,4,5,3,4,1,0,0,30,38,0
44,3,145160,9,4,2,2,4,1,0,0,58,38,0
59,6,268700,9,2,7,0,4,1,0,0,40,38,0
21,3,212114,10,4,9,3,4,0,0,0,8,38,0
55,5,100569,9,5,4,4,4,0,0,0,55,38,0
26,3,244495,9,2,2,0,4,1,0,0,48,38,0
54,3,106728,13,2,12,0,4,1,0,0,40,38,0
40,3,154076,9,2,2,0,4,1,0,0,45,38,0
34,3,538243,10,5,12,4,2,0,0,0,40,38,0
57,0,370890,9,4,0,1,4,1,0,2258,40,38,0
31,1,150324,9,2,2,0,4,1,0,0,40,38,0
38,3,66326,9,2,13,0,4,1,0,0,99,38,0
22,8,157332,10,4,14,3,4,0,0,0,40,38,0
43,3,131435,13,0,7,1,4,0,0,0,40,38,0
45,3,117310,13,0,11,1,4,0,0,0,46,38,0
21,3,237051,10,4,7,3,4,0,0,0,25,38,0
81,5,136063,9,2,3,0,4,1,0,0,30,38,0
49,5,208872,9,2,4,0,4,1,0,1672,98,38,0
18,3,173585,7,4,7,3,4,1,0,0,15,28,0
28,1,127491,9,5,0,1,4,0,5721,0,40,38,0
18,3,198616,8,4,2,3,4,1,594,0,20,38,0
43,0,95902,12,2,9,5,2,0,0,0,40,38,0
33,3,589155,10,2,6,0,4,1,0,0,50,38,0
31,3,102270,4,0,6,4,4,0,0,0,40,38,0
22,3,162282,11,4,3,3,4,1,0,0,40,38,0
44,3,239723,10,3,2,4,4,0,1506,0,45,38,0
45,3,197418,10,0,0,1,4,0,0,0,48,38,0
52,3,208570,11,0,12,1,4,0,0,0,40,38,0
51,3,71046,10,0,3,4,4,1,0,0,45,33,0
50,6,211112,9,4,0,1,4,0,0,0,37,38,0
29,3,172865,9,2,6,0,4,1,0,0,50,38,0
50,0,176969,9,0,9,1,4,1,0,1590,40,38,0
24,3,175586,9,4,6,4,2,0,0,0,40,38,0
29,8,199116,9,2,14,0,4,1,2407,0,40,5,0
41,3,210844,10,3,11,4,2,0,0,0,40,38,0
49,3,170165,9,0,6,2,4,0,0,0,55,38,0
53,3,103586,13,2,5,0,4,1,0,0,55,38,0
24,3,23438,9,2,2,0,4,1,0,0,40,38,0
23,3,161874,10,4,3,3,2,1,0,0,40,38,0
19,3,109005,10,4,9,3,4,0,0,0,40,38,0
44,5,120837,9,2,3,0,4,1,0,0,66,38,0
60,4,93272,4,2,11,0,4,1,0,0,60,38,0
43,3,598606,5,5,5,4,2,0,0,0,50,38,0
44,3,157765,9,0,6,1,4,0,0,0,40,38,0
34,3,196253,10,0,0,4,4,0,0,0,40,38,0
32,0,115066,9,2,12,0,4,1,0,0,40,38,0
44,1,31251,4,0,5,1,4,1,0,0,40,38,0
60,3,223911,10,3,0,4,2,0,0,0,40,38,0
42,5,326083,11,2,9,0,4,1,0,0,40,38,0
24,3,329852,9,4,6,1,4,1,0,0,40,38,0
44,3,192976,9,2,13,0,0,1,0,0,40,38,0
39,3,187847,9,0,6,3,4,1,0,0,50,38,0
26,3,200639,10,2,6,0,4,1,0,0,40,38,0
56,3,247119,4,6,6,4,3,0,0,0,40,5,0
34,5,192900,10,4,4,1,4,1,0,0,35,38,0
53,3,238481,11,2,3,0,4,1,0,1485,40,38,0
51,3,53197,9,2,2,0,4,1,0,0,40,38,0
41,3,242804,9,2,13,0,4,1,0,0,40,38,0
29,3,81057,10,4,0,3,4,0,0,0,40,38,0
35,1,216068,9,5,0,4,4,0,0,0,38,38,0
21,3,27049,10,4,11,3,4,0,0,0,20,38,0
24,3,420779,9,2,4,0,2,1,0,0,35,38,0
38,3,103456,13,5,9,4,4,1,0,0,40,38,0
43,3,158926,14,2,9,5,1,0,0,0,50,34,0
50,3,310774,13,2,11,0,4,1,0,0,35,38,0
30,3,232475,9,5,2,1,4,1,0,0,40,38,0
45,3,81400,2,2,7,5,4,0,0,0,25,7,0
26,3,34402,13,4,0,1,4,1,0,0,45,38,0
39,8,142804,9,0,14,4,4,0,0,0,16,38,0
33,3,251990,9,5,0,1,3,1,0,0,37,38,0
25,3,224361,9,4,7,1,4,1,0,0,40,38,0
28,3,162404,13,4,2,1,2,1,0,0,60,38,0
51,3,145114,9,0,0,1,4,0,0,0,40,38,0
23,3,445758,3,4,5,4,4,1,0,0,40,25,0
18,3,165754,10,4,7,3,4,0,0,0,30,38,0
35,3,81259,13,4,0,1,4,0,0,0,43,38,0
59,3,208395,14,0,9,1,4,1,0,0,50,38,0
27,3,162104,4,4,8,3,4,0,0,0,30,38,0
43,3,282155,12,0,9,1,4,0,4650,0,40,38,0
25,3,235218,13,4,3,3,4,0,0,0,40,38,0
40,3,30412,13,4,9,1,4,0,0,0,40,38,0
37,3,83880,10,4,2,1,4,1,0,0,40,38,0
32,3,117028,9,2,2,0,4,1,0,0,40,38,0
54,4,52565,4,2,13,0,4,1,0,0,70,38,0
19,3,266635,9,4,7,3,2,1,0,0,30,38,0
18,4,29582,7,4,4,3,4,1,0,0,50,38,0
22,3,246965,10,4,9,1,4,1,0,0,12,38,0
43,3,290660,12,2,9,0,4,1,0,0,30,38,0
40,3,179557,13,0,3,1,4,1,0,0,40,38,0
36,1,379672,11,0,3,4,4,0,0,0,60,38,0
40,3,83827,10,0,2,4,4,0,0,0,40,8,0
30,3,296453,9,4,2,1,4,1,0,0,35,38,0
33,3,226629,10,4,3,3,4,0,0,0,40,38,0
64,3,180624,12,4,9,2,4,0,0,0,30,38,0
23,8,212210,10,4,14,3,4,0,0,0,15,38,0
19,3,260333,9,4,7,3,4,0,0,0,20,38,0
24,3,153082,9,4,7,1,4,1,0,0,35,38,0
21,8,214810,10,4,14,3,4,0,0,0,25,38,0
55,3,247552,10,2,11,0,4,1,0,0,56,38,0
33,3,119017,10,0,0,4,4,0,0,0,50,38,0
18,3,177722,9,4,7,3,4,0,0,0,20,38,0
47,6,80282,16,2,9,0,4,1,0,0,45,38,0
48,3,95388,10,4,3,1,2,0,0,0,40,38,0
20,3,482732,9,4,0,2,4,1,0,0,24,38,0
40,3,193537,10,2,0,5,4,0,0,0,40,5,0
56,3,178787,9,2,5,0,4,1,0,0,40,38,0
24,3,89347,7,4,6,1,4,0,0,0,40,38,0
34,5,80933,9,0,4,1,4,1,0,0,40,38,0
58,3,299991,7,0,0,1,4,0,3674,0,40,38,0
19,3,389755,9,4,5,3,4,1,0,0,16,38,0
29,1,158703,10,2,7,0,4,1,0,0,40,38,0
45,3,246392,9,4,8,4,2,0,0,0,30,38,0
19,3,219867,9,4,0,2,4,0,0,0,35,38,0
29,3,84366,6,3,0,4,4,0,0,0,40,25,0
36,1,74593,10,2,3,0,4,1,0,0,40,38,0
18,3,156874,8,4,7,3,4,1,0,0,27,38,0
26,3,459548,9,4,5,1,4,1,0,0,20,25,0
31,3,213750,10,4,11,1,4,1,0,0,45,38,0
34,6,275880,13,5,3,4,2,0,0,0,38,38,0
19,3,376683,9,4,11,3,2,0,0,0,35,38,0
26,3,63234,13,2,12,5,4,0,4508,0,12,38,0
36,3,177285,11,4,9,4,2,0,0,0,38,38,0
36,3,308945,9,2,6,0,4,1,0,0,40,38,0
88,3,30102,13,4,3,1,4,1,0,1816,50,41,0
51,3,379797,6,2,6,0,2,1,0,0,40,38,0
69,8,138386,9,2,14,0,4,1,1409,0,35,38,0
40,3,182140,9,5,13,4,2,1,0,0,40,38,0
51,1,319054,9,2,13,0,2,1,0,0,60,38,0
28,1,168065,14,4,9,1,4,0,0,0,40,38,0
57,3,453233,6,5,3,1,4,1,0,0,55,38,0
19,3,232392,9,4,7,2,4,0,0,0,40,38,0
28,1,134771,13,4,9,3,4,0,0,0,55,38,0
27,3,220754,16,4,0,3,4,0,0,0,40,38,0
41,3,265932,9,0,0,4,4,0,0,0,45,38,0
53,3,139522,9,2,7,5,4,0,0,1573,40,21,0
30,3,206051,9,2,13,0,4,1,0,0,40,38,0
40,3,217120,6,0,2,1,4,1,0,0,50,38,0
38,3,149018,9,2,2,0,4,1,0,0,40,38,0
51,3,161599,13,0,0,1,4,0,0,0,40,41,0
29,3,208406,12,4,0,1,4,1,0,0,40,38,0
23,3,33016,9,4,2,1,4,1,0,0,40,38,0
46,3,56482,10,4,3,1,2,1,0,0,40,38,0
32,3,187901,11,4,3,1,4,0,0,0,23,38,0
26,3,339324,9,2,6,0,4,1,0,0,96,38,0
22,3,126613,10,4,3,3,4,0,0,0,40,9,0
22,6,24395,10,2,0,5,4,0,0,0,20,38,0
35,3,172694,9,2,6,0,2,1,0,0,40,38,0
19,3,216413,10,4,7,3,4,0,0,0,20,38,0
30,3,169152,9,4,12,4,4,0,0,0,40,38,0
50,3,133963,9,0,0,4,4,0,0,0,35,38,0
21,6,164922,10,4,5,3,4,1,0,0,40,38,0
35,3,150057,9,2,6,0,4,1,4386,0,48,38,0
43,3,119297,9,2,7,0,4,1,0,0,40,38,0
25,3,232991,3,2,6,0,3,1,0,0,40,25,0
33,3,221762,10,4,9,1,2,1,0,0,40,38,0
17,3,160049,6,4,7,3,4,0,0,0,12,38,0
27,3,216479,13,4,11,1,4,0,0,0,40,38,0
32,3,198452,9,2,4,5,4,0,0,0,40,38,0
33,3,361497,9,4,13,1,4,1,0,0,70,38,0
21,3,191460,7,4,7,4,2,0,0,0,40,38,0
39,0,257175,13,0,12,4,2,0,0,625,40,38,0
42,3,191765,9,4,0,2,2,0,0,2339,40,37,0
21,3,431745,10,4,7,1,2,0,0,0,10,38,0
67,1,233681,12,2,3,0,4,1,0,0,35,38,0
52,3,78012,9,6,11,4,4,0,0,1762,40,38,0
22,3,59924,9,4,7,3,4,0,0,0,40,38,0
61,3,197286,5,2,2,0,4,1,0,0,40,38,0
27,3,47907,13,4,0,1,4,0,0,0,43,38,0
31,3,375221,7,4,13,1,2,1,0,0,35,38,0
39,1,167571,9,2,7,5,4,0,2885,0,30,38,0
54,4,149650,9,0,7,1,4,1,0,0,40,1,0
30,3,399088,13,0,9,4,4,0,0,0,50,38,0
25,3,296394,9,4,6,4,2,1,0,0,45,38,0
35,3,112160,9,2,11,0,4,1,0,0,40,38,0
38,3,81965,11,4,12,1,4,0,0,0,40,38,0
42,3,195821,9,5,11,4,4,0,0,0,40,38,0
90,3,313749,13,4,9,3,4,0,0,0,10,38,0
46,3,214955,12,0,9,4,4,0,0,0,40,38,0
59,6,105363,9,4,0,3,4,1,0,0,40,38,0
36,3,76417,9,2,2,0,4,1,0,0,52,38,0
36,3,374983,7,2,6,0,4,1,0,0,40,38,0
47,5,149218,9,2,2,0,4,1,0,0,35,38,0
26,6,234190,10,4,7,1,4,1,0,0,20,38,0
31,1,189265,9,4,0,1,4,0,0,0,40,38,0
30,3,35644,7,2,5,0,4,1,0,0,50,38,0
34,1,211239,13,0,9,4,4,0,6497,0,40,38,0
