estimate_of_risk,months_since_first_trade,months_since_last_trade,average_duration_of_resolution,number_of_satisfactory_trades,nr_trades_insolvent_for_over_60_days,nr_trades_insolvent_for_over_90_days,percentage_of_legal_trades,months_since_last_illegal_trade,maximum_illegal_trades_over_last_year,maximum_illegal_trades,nr_total_trades,nr_trades_initiated_in_last_year,percentage_of_installment_trades,months_since_last_inquiry_not_recent,nr_inquiries_in_last_6_months,nr_inquiries_in_last_6_months_not_recent,net_fraction_of_revolving_burden,net_fraction_of_installment_burden,nr_revolving_trades_with_balance,nr_installment_trades_with_balance,nr_banks_with_high_ratio,percentage_trades_with_balance,cond
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-7.079201,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.0
66.0,143.1937,3.0,62.0,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,5.8975453,2.0,18.0,5.6011868,0.0,0.0,82.37151,-8.0,6.0,2.0,5.9731355,73.0,2.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-7.9534874,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.0
-9.0,-9.0,0.0024237735,-9.0,-8.057964,0.0,-2.925112,-9.0,-9.0,-5.904562,2.0,-9.0,0.0,-9.0,-8.0,0.0,-1.1454712,-8.766619,-9.0,-9.0,-9.0,-8.0,-9.0,2.0
67.70753,152.42642,3.0,61.588646,18.460716,0.0,0.0,91.925415,29.2679,6.0,6.0,21.0,4.0,33.0,1.0,3.0,3.0,51.297764,-8.0,2.0,2.0,1.0,44.0914,2.0
63.0,178.38893,10.0,84.0,38.373672,0.0,0.0,92.0,22.461712,6.0,6.0,42.0,3.0,50.0,-8.0,0.0,0.0,116.43894,-8.0,7.182994,2.0,4.866962,100.0,2.0
66.0,131.93845,4.0,49.51607,24.605198,1.0,0.0,88.04999,24.670248,6.0,5.0,32.0,5.0,59.498917,0.0,1.0,1.0,51.469696,-8.0,2.0,2.0,0.0,83.0,2.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.0
64.12641,117.82567,5.0,47.535213,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.198353,2.0,29.223656,0.0,2.0,2.256237,84.54422,74.32246,9.489995,2.0,3.3694532,86.0,2.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.0
66.0,276.21808,5.0,115.80511,27.0,0.0,0.0,92.0,4.3608885,6.0,6.0,27.0,2.0,59.44978,0.0,3.1373281,3.0,75.114456,93.90944,4.4454865,3.0,2.4439924,87.85642,2.0
64.0,184.04083,14.488641,69.99907,18.365662,0.0,0.0,90.546135,24.306562,6.0,5.0,16.0,0.0,25.0,0.0,2.0,2.0,89.91838,84.897835,6.0,2.0,2.0,100.0,2.0
-9.0,20.116539,12.0,39.981976,4.9561853,2.0,2.0,64.67671,7.098599,-7.062432,5.0,6.989575,2.0,50.0,0.0,0.0,0.0,62.91568,-8.0,3.0,1.0,1.8034577,85.40966,2.0
68.0,260.0469,7.0,79.15996,36.0,0.0,0.0,100.0,-7.0,7.0,8.0,31.872057,2.0,40.0,-7.8127246,0.0,0.0,75.32986,74.722404,7.66848,3.0,6.938233,83.0,2.0
76.0,239.85484,4.0,72.34982,50.571854,0.0,0.0,100.0,-7.0,7.0,8.0,47.42974,6.075009,20.647753,3.0,2.0,2.0,35.470013,-8.0,2.0,2.7877119,2.0,40.0,2.0
66.092,192.07707,17.0,88.928055,11.13008,4.847825,1.0,-9.0,1.6092665,-9.0,3.167226,15.0,0.0,31.097843,0.0,1.0,1.0,3.7484267,-8.0,1.0,1.0,0.0,27.30391,2.0
69.0,31.300774,3.0,12.154649,5.344573,0.0,0.0,100.0,-7.0,7.0,8.0,8.028015,1.0,50.0,0.0,0.0,0.0,77.34274,81.747154,2.0,3.0,0.0,100.0,2.0
70.83457,274.84943,20.31268,96.0,16.96215,1.0,1.0,100.0,-7.0,6.0,8.0,16.0,0.0,51.007557,0.0,0.0,0.0,72.87517,61.162388,5.0,2.0,0.20125405,73.0,2.0
66.0,147.26857,1.0,68.83085,28.0,0.0,0.0,93.0,73.552246,6.0,5.0,32.189697,4.72536,47.0,0.0,2.0,2.0,75.3064,84.969475,5.0,3.0,2.0,83.0,2.0
66.64394,372.12796,6.0,70.90624,24.0,0.0,0.0,88.843094,-7.0,4.0,6.0,27.634819,1.0,20.0,2.0,3.0,3.0,12.722792,-8.0,3.0,2.0,1.0,43.247135,2.0
67.0,146.17139,7.3053513,88.7155,29.0,0.0,0.0,89.41478,24.734789,6.0,6.0,22.54694,1.0,17.0,0.0,3.0,3.0,60.851456,85.0,9.0,1.0,1.0,85.30736,2.0
64.0,89.01116,4.0,57.340557,7.0,0.0,0.0,100.0,-7.0,7.0,8.0,4.8782873,2.0,93.45273,0.0,0.0,0.0,11.0,90.96306,0.0,3.155709,0.0,100.0,2.0
70.67638,219.33583,5.0,64.003265,40.0,0.0,0.0,100.0,-7.0,7.0,8.0,34.938236,3.0,21.0,0.0,4.0,3.0,48.322247,-8.0,7.0,2.0,0.0,71.0,2.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.8322754,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.0
59.092964,192.5423,3.0,68.006584,42.490685,1.0,1.0,90.396225,4.484769,4.0,2.8945768,42.0,3.0,26.628895,0.0,12.139071,6.955469,35.69714,69.08222,11.0,4.0,2.0,78.966774,2.0
73.73505,261.92352,5.827025,69.93708,15.0,0.0,0.0,95.72153,-7.0,6.0,6.0,16.34177,3.0,33.0,0.0,4.0,3.3019197,41.074203,84.228165,4.0,3.0,0.0,73.0,2.0
71.339615,316.37436,5.4736867,71.54379,30.0,0.0,0.0,100.0,-7.0,7.0,8.0,31.0,2.0,14.0,0.0,0.0,0.0,69.26355,-8.0,8.0,1.0,2.0,64.353424,2.0
65.0,172.25305,2.0,60.17028,8.143847,1.0,1.0,90.72202,20.936625,4.0,5.0,9.918141,3.0,42.0,0.0,4.0,3.0,57.005775,69.10448,3.0,2.0,0.0,100.0,2.0
61.62494,83.64029,12.0,50.67839,10.787658,0.0,0.0,75.39139,10.486735,6.0,6.0,6.1149063,0.0,38.0,0.0,0.0,0.0,75.5231,71.95126,3.0,2.0,0.0,75.0,2.0
72.0,190.63074,25.7492,76.0,15.17755,0.0,0.0,100.0,-7.0,7.0,8.0,15.43496,1.0,36.0,0.0,1.0,1.0,45.19559,-8.0,2.3762739,1.0,3.0,44.0,2.0
55.80183,119.387856,15.102397,57.58851,11.0,1.0,1.0,89.0,-7.0,5.162351,6.0,11.0,0.0,67.492096,-7.0,0.0,0.0,12.739713,20.387365,2.0,3.0,0.0,88.08629,2.0
84.0,115.32283,20.109863,67.0,6.3172708,0.0,0.0,100.0,-7.0,7.0,8.0,4.2467737,0.0,99.32088,-7.0,0.0,0.0,-8.0,79.883026,0.08872486,2.0,0.0,100.0,2.0
-9.0,127.82798,22.312452,54.61337,2.957252,1.0,1.0,100.0,-7.0,7.0,8.0,4.2669964,0.0,99.999626,0.14051846,1.0,1.0,-9.0,-8.0,-8.150242,-1.7831339,-9.0,33.0,2.0
60.847145,425.9257,37.812603,121.66566,7.0,1.0,0.0,93.0,2.0,7.0,7.0,5.881241,0.0,99.995316,0.0,3.0,2.0,-9.0,-8.0,-9.0,-8.0,-9.0,38.892246,2.0
81.0,257.6568,4.0,80.95826,31.0,0.0,0.0,100.0,-7.0,7.0,8.0,36.813316,3.0,33.0,0.0,2.440348,2.2938886,4.0,89.55317,2.4782426,2.0,0.0,75.0,2.0
86.0,158.52353,10.0,52.89331,6.3011026,0.0,0.0,100.0,-7.0,7.0,8.0,8.18553,1.0,51.038677,0.0,0.0,0.0,5.2486005,-8.0,1.0,1.0,0.0,69.66635,2.0
74.0,205.62338,3.351804,46.744286,7.0,0.0,0.0,100.0,-7.0,7.0,8.0,10.0,2.0,59.315685,0.0,0.0,0.0,83.70043,73.93706,2.0,2.0,0.0,83.0,2.0
73.70268,60.27948,5.0,15.78153,7.0,0.0,0.0,100.0,-7.0,7.0,8.0,7.0,1.258293,39.0,0.0,0.0,0.0,64.7273,78.262726,2.0,2.0,0.0,87.56773,2.0
85.0,136.99933,32.14064,77.18329,6.466087,0.0,0.0,100.0,-7.0,7.0,8.0,6.14664,0.0,97.36502,-8.0,0.0,0.0,-9.0,-8.0,0.73291916,1.0,0.0,71.6321,2.0
68.0,17.710732,8.859513,-9.0,11.588585,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,2.0,45.340942,0.0,1.9083464,1.0,49.512856,94.98917,2.0,2.7520595,0.0,83.920204,2.0
62.232685,170.76886,9.605444,66.7696,10.315939,0.0,0.0,65.66878,9.154085,4.0,6.0,15.0,1.0,50.0,3.0,3.0,3.0,36.83496,-8.0,2.0,1.0,0.0,71.0,2.0
64.0,78.38838,16.538002,51.705036,4.2156367,0.0,0.0,78.302864,26.27249,6.0,6.0,7.0,0.0,20.0,8.0,0.0,0.0,84.734024,-8.0,2.0,1.0,2.5160303,75.0,2.0
68.370415,367.17804,2.0,105.40269,47.780422,0.0,0.0,100.0,-7.0,7.0,8.0,42.265656,2.0,18.0,0.0,4.0,3.0,42.487244,79.23281,11.146323,4.0,10.205607,64.0,2.0
72.0,81.51175,10.0,37.765694,7.0,0.0,0.0,100.0,-7.0,7.0,8.0,7.0,1.3049078,96.84512,-7.0,0.0,0.0,0.0,92.56264,1.0,2.0,0.0,88.44353,2.0
81.0,287.60495,20.0,178.87582,10.0,2.0,0.0,78.61836,26.238064,6.0,5.0,14.572506,0.0,29.841784,0.0,0.0,0.0,47.089695,74.15961,3.0,3.0,0.0,67.0,2.0
63.0,120.415985,5.0,107.48577,48.469677,0.0,0.0,96.0,-9.0,6.0,6.0,58.70315,3.0,36.0,0.0,3.0,3.0,117.80167,49.794754,11.77859,17.348694,10.919963,100.0,2.0
68.0,134.95941,2.0831134,59.948895,37.993706,0.0,0.0,100.0,-7.0,7.0,8.0,29.0,4.0992956,20.0,-7.0,5.3060164,4.0,42.044685,91.95508,6.0,3.0,2.0,70.82488,2.0
80.0,329.77908,6.0,87.0,19.0,0.0,0.0,90.15616,-7.0,6.0,6.0,20.0,0.0,25.552107,0.0,5.326049,5.0,2.0,-8.0,2.0,2.0,0.0,44.0,2.0
66.0,18.998053,4.0,-5.7673655,7.0,0.0,0.0,100.0,-7.0,7.0,8.0,6.666529,2.0,23.173267,0.0,3.0,3.0,37.09392,-8.0,2.0,1.0,1.0,60.0,2.0
64.1705,73.17783,3.0,51.922684,16.210695,1.0,1.0,100.0,-7.0,6.0,8.0,4.9702325,2.0,40.259537,0.0,0.0,0.0,41.4634,91.31431,7.0,2.0,2.863702,67.0,2.0
61.0,159.04404,20.0,63.1499,40.0,0.0,0.0,95.0,-7.0,4.213578,6.0,41.00376,0.0,18.0,0.69360197,3.0,2.0,52.55752,70.775986,11.0,3.0,4.0,71.0,2.0
91.35227,338.66794,16.19581,107.32584,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.16914,1.0,21.0,4.0,0.0,0.0,0.0,-8.0,0.80684394,-8.0,0.0,19.05871,2.0
69.0,-8.0,7.0,31.92544,9.0,0.0,0.0,100.0,-7.0,7.0,8.0,9.0,1.0,51.22098,0.0,4.7256174,5.0,76.09012,98.16007,2.0,3.0,2.0,95.676445,2.0
68.74351,74.43886,3.0,21.59297,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,9.0,3.0,33.0,0.0,0.0,0.0,33.443913,70.60676,3.0,3.0,0.8946189,60.0,2.0
65.0,171.45116,8.452626,70.848656,7.0884824,1.0,0.0,74.13094,4.938186,4.0,4.0,9.0,0.0,20.0,13.632101,0.0,0.0,3.0,-8.0,2.0,1.0,0.0,67.0,2.0
73.0,190.36339,3.0,81.99078,32.0,1.0,0.0,97.0,31.07533,6.0,5.0,34.93889,5.0,30.0,0.0,5.278808,5.0,35.51164,91.662605,3.0,2.0,1.0,67.0,2.0
68.0787,111.36421,3.0,51.066612,27.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.319923,2.0,25.0,0.0,3.0,3.0,43.36986,90.95712,6.0,2.999709,0.0,73.0,2.0
68.0,154.65215,1.0,69.488785,36.0,0.0,0.0,95.0,24.36233,6.0,6.0,39.39745,5.0,40.773903,0.0,5.6595054,5.074824,41.811756,77.46523,3.0,4.0,1.0,71.0,2.0
59.692932,278.93982,8.0,93.0,32.0,0.0,0.0,89.0,6.348271,4.0,6.0,34.0,2.0,20.0,0.0,1.0,1.0,51.71249,88.03715,8.22598,2.0,2.0,71.0,2.0
82.0,195.76682,16.945747,74.0,11.061434,0.0,0.0,100.0,-7.0,7.0,8.0,9.0,0.0,21.22538,-7.0,0.0,0.0,13.0,52.245224,7.0,2.0,0.0,80.110596,2.0
65.0,118.06106,8.972931,74.0,15.0,1.0,0.0,37.891495,23.5578,6.0,6.0,18.0,2.0,29.0,0.0,0.0,0.0,82.14822,98.83069,3.0,2.0,2.0,73.0,2.0
68.0,64.250046,7.0,62.76061,10.0,2.0,2.0,85.22492,49.291748,6.0,5.0,5.7877955,1.0,65.21182,-7.0,0.0,0.0,91.745865,90.0,2.0,2.0,0.0,100.0,2.0
84.0,294.69788,4.909506,96.0,11.468804,0.0,0.0,100.0,-7.0,7.0,8.0,13.491779,1.0,28.13907,0.0,0.0,0.0,20.68773,-8.0,2.0,1.0,0.0,70.37819,2.0
76.0,194.01804,23.53066,75.79058,10.0,1.0,1.0,100.0,-7.0,7.0,8.0,10.397006,0.0,35.19437,-7.0,0.0,0.0,72.855,50.78082,2.0,2.0,0.0,84.93374,2.0
59.164036,121.083084,23.259869,68.37458,10.498639,0.0,0.0,65.55396,2.4710531,4.0,6.0,12.0,0.0,22.836287,0.0,0.0,0.0,62.28456,52.935497,5.0,2.0,2.0,65.94422,2.0
55.44805,175.6377,11.0,69.350204,23.0,2.0,0.0,81.75957,18.093037,6.0,3.4673073,22.0,1.0,55.92572,0.0,0.0,0.0,79.110176,88.94321,7.0,4.3381953,4.0950136,100.0,2.0
87.0,244.18271,20.0,103.63431,13.498965,0.0,0.0,100.0,-7.0,7.0,8.0,16.077461,0.0,22.0,0.0,0.0,0.0,0.0,-8.0,1.0,1.0,0.0,-8.349763,2.0
64.077866,125.367546,12.0,77.0,18.0,0.0,0.0,86.80108,2.8775427,4.0,6.0,17.0,0.0,20.0,-7.0,0.0,0.0,35.70536,-8.0,5.0,1.0,0.0,52.15357,2.0
84.0,225.05482,31.018818,90.0,10.0,0.0,0.0,100.0,-7.0,7.0,8.0,13.0,0.0,70.5389,-4.314664,0.0,0.0,5.0,75.28389,1.0,2.0,0.0,63.0,2.0
70.0,116.55686,2.0,88.78138,50.2269,0.0,0.0,100.0,-7.0,7.0,8.0,7.0,3.8267784,14.0,-7.438344,4.0,3.0,45.425514,5.022966,8.0,2.0,3.0,57.0,2.0
78.0,322.0059,20.0,77.40181,15.0,0.0,0.0,89.782234,19.82131,6.0,6.0,14.0,0.0,16.164509,-9.0,0.0,0.0,19.0,39.395683,3.0,2.0,0.0,50.0,2.0
65.20771,94.96883,6.0,31.242992,19.594162,0.0,0.0,100.0,-7.0,7.0,8.0,26.0,2.0,41.612923,0.0,3.0,3.0,64.490166,90.99328,3.0,2.0,1.0,86.033875,2.0
61.0,80.29949,4.0,70.21544,13.0,2.0,0.0,88.0,68.90879,6.0,6.0,5.0,1.0,37.953884,0.0,2.0,2.0,57.77471,85.0,2.0,3.0,2.0,67.0,2.0
73.50923,164.2219,5.749457,80.805885,15.0,0.0,0.0,93.0,5.0,2.9853349,6.0,15.738391,2.0,17.0,0.0,0.0,0.0,33.47944,-8.0,6.7142344,2.0,0.0,71.0,2.0
70.47054,161.6675,3.0,68.659904,40.0,0.0,0.0,95.0,-7.0,6.0,6.0,34.901173,2.0,-9.0,0.0,1.0,1.0,13.0,87.199486,10.741627,3.0,2.0,44.0,2.0
-9.0,99.56268,2.0,67.0,36.035507,0.0,0.0,96.0,-7.0,5.0,6.0,10.0,8.944337,24.0,0.0,6.927911,6.680699,78.26374,90.0,13.978028,6.0,9.586585,83.0,2.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.0
63.0,91.74159,4.0,29.647991,16.613834,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,2.0,27.0,0.0,2.0,2.0,84.4891,75.730194,5.0,2.0,4.0,89.65357,2.0
77.0,182.63852,5.0,63.773132,10.0,0.0,0.0,90.0,25.941185,6.0,6.0,5.297383,1.0,50.0,0.0,3.0,3.0,20.108547,80.865974,1.0,2.0,0.0,57.714104,2.0
74.338776,180.90613,3.0,76.0,32.0,0.0,0.0,100.0,-7.0,7.0,8.0,39.18022,3.0,17.062508,0.0,0.0,0.0,45.90195,90.844444,10.411577,2.0,0.0,60.0,2.0
65.0,129.36386,4.0,43.813583,1.0218855,1.0,0.0,78.89679,43.074097,6.0,6.0,9.0,4.0,58.056057,0.0,1.0,1.0,56.272743,43.789593,1.8355516,2.0,1.3494691,89.28331,2.0
67.0,254.37582,22.917841,92.0,5.2994556,1.0,1.0,100.0,-7.0,7.0,8.0,5.0,0.0,33.918144,0.0,0.0,0.0,1.0,-8.0,0.0,-8.0,0.0,-9.0,2.0
66.0,161.88107,3.0,99.80406,19.0,3.1539702,3.4435349,100.0,-7.0,2.9755752,8.0,7.0,1.0,28.352346,1.0,1.0,1.0,0.0,-8.0,1.0,1.6021295,0.0,33.0,2.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.0
66.0,140.81482,2.0,52.857994,22.0,0.0,0.0,89.62468,27.4704,6.0,6.0,23.0,5.2588143,28.450102,1.0,1.0,1.0,55.2651,68.96071,4.152066,2.0,3.0,50.0,2.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.0
67.0,190.31786,12.811768,86.38439,9.0,1.0,1.0,86.12033,5.0,4.0,5.0,7.9648023,0.0,37.058136,0.0,0.0,0.0,10.202727,-8.0,1.0,1.0,0.0,43.973705,2.0
64.0,312.61893,4.0,79.0,37.817963,0.0,0.0,90.24193,8.404371,6.0,6.0,41.839027,3.0,50.0,0.0,5.174201,4.371025,46.400276,77.558716,1.0,3.0,1.0,44.0,2.0
73.0,205.76233,2.0,49.03608,25.0,0.0,0.0,100.0,-7.0,7.0,8.0,26.0,6.0,25.0,0.0,4.6963334,5.0,4.0,77.32899,2.0,3.0,0.0,44.0,2.0
66.0,296.9743,4.0,77.0,13.862671,0.0,0.0,83.39356,-7.0,4.0,6.0,7.2468705,1.0,30.0,0.0,4.0,3.0,37.553406,71.39065,3.0,3.0,2.0,67.0,2.0
79.0,189.1433,46.30338,92.76954,13.0,1.0,0.0,75.52599,3.2636375,6.0,5.0,14.0,0.0,16.999983,0.0,0.0,0.0,3.0,-8.0,4.0,1.0,0.0,54.61716,2.0
66.0,171.61761,13.0,65.0,30.149294,0.0,0.0,93.0,19.3539,6.0,6.0,23.374388,1.0,17.0,0.0,5.160073,4.7606645,67.16952,-8.0,6.0,1.0,3.0,57.51306,2.0
65.0,148.47879,15.359966,72.02814,10.0,2.0,2.0,-9.0,10.00639,6.0,2.0,16.0,1.0,13.0,0.0,1.0,1.0,53.852543,-8.0,3.0,1.0,0.0,50.0,2.0
80.0,320.16342,17.0,107.550705,31.676657,0.0,0.0,100.0,-7.0,7.0,8.0,30.0,0.0,20.086023,0.0,1.0,1.0,34.83445,80.4459,7.0,2.0,1.0,63.0,2.0
65.35208,236.03879,8.0,92.32697,46.59596,0.0,0.0,100.0,-7.0,6.0,6.0,49.15923,0.0,54.89655,0.0,4.0,3.0,37.995235,76.0,6.4972873,3.0,0.0,73.0,2.0
59.02182,148.48662,17.0,72.72965,16.0,0.0,0.0,85.36347,11.793249,4.0,6.0,15.0,0.0,33.0,0.0,4.0,3.0,112.13761,-8.0,4.0,2.0,1.0,71.0,2.0
64.0,-8.0,3.0,50.790623,10.0,0.0,0.0,100.0,-7.0,7.0,8.0,6.455696,2.0,99.37656,-7.0,0.0,0.0,119.11682,50.0484,1.0,5.0,0.0,100.0,2.0
68.0,200.1154,2.0,79.0,40.115543,0.0,0.0,100.0,-7.0,7.0,8.0,26.0,5.0,15.0,-7.0,2.0,2.0,68.93242,-8.0,6.0,2.0,10.521493,40.150673,2.0
61.0,185.8292,8.062087,97.02244,22.0,0.0,0.0,82.48966,3.0,4.0,6.0,12.946455,1.0,20.0,0.0,0.0,0.0,83.110374,75.18632,11.0,1.0,5.904376,100.0,2.0
75.0,205.86337,25.229368,80.82654,4.097803,1.0,0.0,100.0,-7.0,7.0,8.0,4.836666,0.0,92.338745,2.6050956,1.0,1.6614867,-9.0,-8.0,0.0,1.0,0.0,25.0,2.0
69.0,139.33546,11.0,49.762085,3.066871,0.0,0.0,100.0,-7.0,7.0,8.0,3.7283633,1.0,95.58738,0.0,0.0,0.0,0.0,79.99705,1.0,1.0,-9.0,52.344162,2.0
60.253708,269.43613,2.0,93.518486,44.175667,0.0,0.0,90.54948,12.443362,6.0,6.0,46.48985,4.0,28.263502,3.0,3.0,3.0,58.850296,64.87996,7.818061,3.0,9.237767,56.0,2.0
74.0,128.8601,6.0,49.889633,-9.0,0.0,0.0,77.53704,5.0,6.0,6.0,9.0,1.0,52.59654,0.0,2.0,2.0,0.9241626,-8.0,1.0,2.0,0.0,86.60124,2.0
68.1906,340.2565,2.0,83.9384,28.0,0.0,0.0,78.547844,3.0,4.0,6.0,29.0,2.0,23.0,2.0,1.0,1.0,8.974518,-8.0,7.0,-8.0,1.0,60.0,2.0
29.563852,277.68472,5.0,83.0,29.764282,1.0,0.0,74.80637,1.5684453,4.0,5.0,32.81278,1.0,27.69072,6.0,0.0,0.0,34.0,-8.0,7.0,2.0,1.0,67.0,2.0
64.0,177.28621,2.7511601,62.0,23.127436,0.0,0.0,86.50501,33.921165,6.0,6.0,28.999203,6.275774,55.62452,0.0,4.0,4.0,93.81464,41.9485,2.0,3.0,4.6038933,71.0,2.0
69.0,177.4956,3.0,62.189327,16.91768,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,2.0,23.828007,21.682932,0.0,0.0,70.47643,86.96187,7.0,2.0,5.5214906,64.0,2.0
