estimate_of_risk,months_since_first_trade,months_since_last_trade,average_duration_of_resolution,number_of_satisfactory_trades,nr_trades_insolvent_for_over_60_days,nr_trades_insolvent_for_over_90_days,percentage_of_legal_trades,months_since_last_illegal_trade,maximum_illegal_trades_over_last_year,maximum_illegal_trades,nr_total_trades,nr_trades_initiated_in_last_year,percentage_of_installment_trades,months_since_last_inquiry_not_recent,nr_inquiries_in_last_6_months,nr_inquiries_in_last_6_months_not_recent,net_fraction_of_revolving_burden,net_fraction_of_installment_burden,nr_revolving_trades_with_balance,nr_installment_trades_with_balance,nr_banks_with_high_ratio,percentage_trades_with_balance,is_at_risk
54.02048,225.18187,28.424137,110.90943,22.0,0.0,0.0,91.19735,3.0,4.0,6.0,29.0,0.0,35.0,-7.0,0.0,0.0,77.114716,-8.0,6.0,1.0,3.9662309,62.621784,1.0
68.0,304.3192,23.68651,101.15272,-6.993107,0.0,0.0,84.88624,3.5263135,6.0,6.0,20.0,0.0,15.682334,5.0,0.0,0.0,70.48463,-8.0,3.0,1.0,1.0,63.0,1.0
65.0,275.43332,8.0,63.715214,29.155148,1.0,1.0,94.0,63.90913,6.0,3.0,35.0,4.0,31.838121,0.0,0.0,0.0,73.43478,95.416,9.5522995,4.0,10.856702,76.89897,1.0
85.0,213.38785,7.0,66.5777,30.0,0.0,0.0,100.0,-7.0,7.0,8.0,26.0,3.0,10.928558,2.0,0.0,0.0,3.0,-8.0,3.0,-8.0,0.0,33.0,1.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-1.2973177,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0
68.374275,293.67383,11.0,73.95617,13.0,0.0,0.0,77.29894,2.4068227,5.094101,6.0,17.0,0.0,33.0,2.0,1.0,1.0,29.82269,0.90893227,3.0,1.0,0.0,60.80998,1.0
79.0,270.5253,22.13724,113.94828,33.49985,0.0,0.0,89.0,8.905109,6.0,6.0,33.126972,0.0,8.944938,7.0,0.0,0.0,4.0,68.60617,3.0,2.0,0.0,28.525343,1.0
66.95157,166.03662,30.230349,70.662315,12.0,1.0,0.0,80.400696,12.887784,6.0,6.0,15.710947,0.0,30.0,0.0,4.0,3.0,82.17515,19.329607,1.0,1.0,1.0,54.221603,1.0
77.0,197.50612,2.0,75.094444,28.0,0.0,0.0,100.0,-7.0,7.0,8.0,38.70642,5.0,17.0,0.0,1.0,1.0,3.0,53.36708,2.0,2.0,0.0,48.827602,1.0
89.0,680.3042,56.4539,137.81223,16.0,0.0,0.0,100.0,-7.0,7.0,8.0,12.0,0.0,13.0,-7.0,1.0,0.0,1.0,-8.0,1.0,-1.3902084,0.0,-9.0,1.0
63.897434,195.69724,-6.150616,82.0,50.450916,0.0,0.0,90.92596,31.51334,6.0,6.0,46.574722,5.0,35.0,0.0,1.0,0.0,82.1598,97.28719,4.0,4.0,4.5541277,100.0,1.0
60.765106,-9.0,11.0,23.962946,-9.0,1.0,0.0,77.88676,10.179873,6.0,5.364372,-9.0,1.0,29.0,0.0,1.0,1.0,62.350025,89.1856,1.0,1.0,0.0,67.0,1.0
65.62541,18.827717,4.0,17.256979,7.0,0.0,0.0,71.42438,33.855453,6.0,6.0,6.8553963,2.0,73.80891,0.0,4.0,3.0,45.735466,85.51663,1.0,2.0,0.0,100.0,1.0
48.980278,45.804096,3.0,-9.0,11.015176,0.0,0.0,82.114845,15.955733,6.0,6.0,10.213031,4.0,32.0,10.0,0.0,0.0,39.227753,53.708145,6.0,2.0,1.0,83.0,1.0
-9.0,166.0621,4.236857,64.158325,14.0,4.473253,2.9483004,-9.0,8.183099,4.0,2.0,25.0,2.0,32.0,0.0,1.0,1.0,71.57225,83.87917,5.0,3.0,3.0,75.0,1.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0
70.0,241.992,17.716032,63.56446,41.13378,0.0,0.0,97.0,-7.0,6.0,6.0,36.123226,0.0,40.0,0.0,1.0,1.0,6.0,50.939518,4.0,3.0,0.0,43.0,1.0
75.0,97.73317,2.0,62.2239,34.569145,0.0,0.0,100.0,-7.0,7.0,8.0,49.39331,2.0,29.0,0.0,2.0,2.0,26.087198,68.0,4.0,2.0,1.0,50.0,1.0
64.154205,253.55777,9.0,83.24724,20.0,0.0,0.0,82.65432,15.255433,6.0,6.0,25.0,1.0,35.0,0.0,0.0,0.0,84.01523,-8.0,6.2473545,1.0,8.64368,77.78573,1.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0
68.0,167.9446,8.0,116.59328,16.0,2.0,0.0,84.66376,52.236736,6.0,3.0,21.572283,3.0,43.089054,23.993372,0.0,0.0,60.716026,63.46359,5.0,3.0,2.0,86.0,1.0
72.0,202.67569,2.0,93.0,39.718304,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,2.0,26.0,0.0,2.0,3.0,59.108067,64.84238,10.394213,1.0,5.3127646,78.0,1.0
78.0,146.53615,157.788,92.8257,-9.0,0.0,0.0,68.32062,16.507576,6.0,6.0,3.3554702,0.0,-9.0,0.0,3.0,3.0,1.0,-8.0,0.0,-8.0,0.0,3.9987266,1.0
70.0,110.734726,8.0,79.193275,19.0,0.0,0.0,89.4213,5.7844906,6.0,6.0,19.416323,1.0,37.0,0.0,0.0,0.0,63.755714,-8.0,2.0,-9.0,0.0,22.16883,1.0
80.22069,193.8009,11.0,87.16427,20.251884,0.0,0.0,93.0,19.0806,6.0,6.0,10.134918,0.0,21.0,0.0,1.0,0.0,6.0,-8.0,4.0,2.0,0.0,43.0,1.0
67.0,131.27396,33.867958,88.164536,13.0,1.0,0.0,84.37737,15.261943,6.0,3.9673958,15.0,0.0,63.207645,0.0,0.0,0.0,99.694725,48.047024,3.0,3.0,2.0,100.0,1.0
65.0,309.36334,2.0,93.580986,23.244322,0.0,0.0,88.0,9.841874,6.0,6.0,30.0,3.0,29.0,-7.0,0.0,0.0,74.44348,84.18455,10.0,2.0,4.356814,89.92864,1.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0
58.69012,226.97034,9.0,79.25781,17.0,1.5619551,1.0,81.161674,3.6283524,2.7784483,5.0,24.0,2.0,28.0,-6.817621,2.0,2.0,40.686874,-8.0,7.0,1.0,0.0,62.544613,1.0
80.3889,127.218544,3.0,101.2414,30.0,0.0,0.0,100.0,-7.0,7.0,8.0,6.822643,4.0,15.078061,-7.0,0.0,0.0,13.0,60.069836,7.0,1.0,1.0,44.0,1.0
76.0,219.31642,5.0,72.0,20.508316,0.0,0.0,96.0,31.546282,6.0,6.0,26.137722,1.0,29.0,0.0,2.0,2.0,55.300034,78.56361,4.0,2.0,1.0,60.0,1.0
-9.0,412.25644,8.0,106.58963,35.0,1.0,1.0,87.086365,-7.0,-9.0,4.0,40.411835,2.0,-6.483033,1.0,0.0,0.0,71.79924,-8.0,26.147833,1.0,10.686517,67.0,1.0
59.87674,14.935664,8.0,50.090313,9.9717865,2.4504194,1.0,73.06196,14.972274,6.0,-6.4963446,6.2803373,1.0,87.72955,0.0,0.0,0.0,62.29837,-8.0,2.0,1.0,0.0,94.5763,1.0
79.0,167.1328,19.425669,113.185555,18.952194,0.0,0.0,100.0,-7.0,7.0,8.0,-6.7938304,0.0,33.916885,0.0,1.0,1.0,56.71386,-8.0,2.0,2.0,1.0,50.74263,1.0
67.0,35.825195,2.0,42.946144,27.0,0.0,0.0,100.0,-7.0,7.0,8.0,23.025908,2.054986,18.0,-7.0,2.0,2.0,58.49204,79.0,7.0,2.0,4.0,50.0,1.0
73.0,118.682724,4.0,64.5535,24.0,0.0,0.0,88.0,3.0,6.0,6.0,26.954369,3.0,72.16594,0.0,0.14292024,0.0,75.560715,86.6174,3.0,4.0,0.0,100.0,1.0
71.0,162.93274,9.0,107.936806,23.018265,0.0,0.0,89.30912,26.823803,6.0,6.0,14.0,1.0,17.0,-7.0,2.0,2.0,68.08405,-8.0,6.0,1.0,1.0,86.38072,1.0
57.467094,334.03857,8.0,130.97969,26.0,0.0,0.0,86.0,2.0,6.0,6.0,32.0,1.0,26.0,1.0,2.0,2.0,69.41577,-8.0,7.0,1.0,3.0,67.0,1.0
67.0,101.49256,4.0,-9.0,10.0,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,2.0,35.0,23.936913,0.0,0.0,3.0,73.649704,0.0,2.0,0.0,40.0,1.0
79.0,172.13776,4.370806,64.31022,16.0,0.0,0.0,89.0,-7.0,6.0,6.0,16.0,3.0,15.101227,0.0,1.0,1.0,3.832813,-8.0,1.0,1.0,0.0,30.194115,1.0
57.375668,98.94215,5.0,67.12467,18.0,0.0,0.0,83.0278,-7.0,0.013389737,6.0,8.0,2.0,16.0,-7.0,2.0,2.0,18.56757,-8.0,3.8717356,1.0,1.0,46.019737,1.0
53.06182,118.34717,8.0,49.241333,7.0,1.0,0.0,-9.0,3.0,4.0,5.0,15.0,2.0,39.911514,1.0,0.0,0.0,64.9297,40.523136,3.0,2.0,1.0,100.0,1.0
59.737442,-9.0,3.0,40.79402,19.704948,0.0,0.0,93.0,8.324881,4.0,6.0,12.0,6.0,20.77711,0.0,1.0,1.0,46.69089,16.572542,6.0,1.0,1.0,90.55629,1.0
62.0,153.64587,4.0,-9.0,7.991758,1.0,0.0,88.0,22.848272,6.0,4.0,15.0,2.5925064,30.0,0.0,3.0,3.0,108.311935,77.38231,4.0,2.0,2.0,88.459755,1.0
66.0,-8.0,2.0,73.93084,16.0,0.0,0.0,100.0,-7.0,7.0,8.0,-6.210465,2.0,11.815639,0.0,5.0,4.449728,55.99705,-8.0,6.0,1.0,5.6395636,63.0,1.0
79.58181,140.28996,7.0,50.98339,21.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,3.0,27.0,0.0,1.0,1.0,35.105473,22.944668,2.0,2.0,0.0,65.16594,1.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0
75.0,319.37408,8.0,92.55985,30.0,0.0,0.0,96.0,71.68352,6.0,6.0,35.0,1.0,31.0,1.0,1.0,1.0,35.001972,100.0,6.0,3.0,1.0,71.0,1.0
76.0,253.2983,2.0,67.2084,20.0,0.0,0.0,95.0,48.498108,6.0,6.0,24.0,4.0,73.447815,0.0,5.5180516,6.2739,23.940826,66.723305,4.0,1.0,1.0,67.0,1.0
75.0,421.27063,7.0,147.28046,21.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,2.0,8.72073,-8.0,1.0,1.0,45.86452,58.866413,7.0,1.0,5.6250286,56.0,1.0
-9.0,213.49637,2.0,34.407753,24.0,1.0,0.0,86.0,17.860023,4.0,5.229166,28.0,5.0,0.0,-7.0,6.982811,6.966858,83.498146,-8.0,22.740978,-8.0,8.107985,56.19268,1.0
66.0,34.91604,13.0,50.465538,19.0,1.0,0.0,84.44741,41.263325,6.0,5.0,14.0,0.0,82.66397,-7.0,0.0,0.0,113.67606,70.804436,2.0,6.3014994,2.0,100.0,1.0
6.773231,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0
63.11299,75.15595,2.0,-9.0,11.0,0.0,0.0,100.0,-7.0,7.0,8.0,14.0,3.0,15.0,0.0,1.3384318,2.0,71.268196,-8.0,6.0,1.0,3.000245,68.52689,1.0
69.0,117.11385,10.0,76.0,35.0,1.0,1.0,88.0,37.018612,6.0,2.0,46.985104,1.0,67.91539,0.0,1.0,1.0,72.222,10.862013,4.0,1.0,0.0,63.0,1.0
59.08488,112.94735,3.0,74.0,33.221394,0.0,0.0,96.0,1.7352247,6.0,6.0,40.770836,6.6416707,31.0,0.0,3.149554,3.0,57.785946,69.750595,9.0,4.0,4.2843313,75.0,1.0
75.0,273.33807,3.0,58.73471,7.897453,0.0,0.0,81.056915,40.90514,6.0,6.0,6.562103,1.0,14.426392,0.0,5.0,5.593832,11.0,-8.0,2.0,-8.0,0.0,38.019905,1.0
80.0,113.71838,4.7447777,38.69224,16.394344,0.0,0.0,100.0,-7.0,7.0,8.0,19.30563,2.0,46.03142,-7.0,1.0,1.0,25.737831,47.96437,2.0,3.0,0.0,55.12427,1.0
-9.0,214.47057,10.0,63.637592,28.0,4.0116706,1.0,86.0,-7.0,-9.0,5.0,32.41231,2.0,24.0,0.0,1.0,2.0,42.30271,46.355625,8.0,3.0,1.0,73.6529,1.0
79.0,307.51807,17.0,80.0,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,0.0,13.515309,14.385376,0.7957926,0.0,46.140022,-8.0,4.0,2.0,1.0,60.0,1.0
65.0,194.69478,6.0,57.089184,50.414288,0.0,0.0,100.0,-7.0,7.0,8.0,54.070206,4.0,18.0,0.0,1.0,1.0,34.37173,82.289734,13.21304,3.0,5.34148,67.0,1.0
64.722916,190.96327,12.0,75.849724,11.861487,1.0,1.0,90.269226,-7.0,0.0,2.0,14.0,0.0,49.319534,-7.0,0.0,0.0,2.024741,-8.0,2.0,2.0,0.0,64.0,1.0
72.0,290.534,29.687721,105.675156,30.0,0.0,0.0,88.56252,1.0,6.0,6.0,29.0,0.0,21.0,21.315865,0.0,0.0,32.53208,75.25658,3.0,3.0,0.0,40.0,1.0
65.0,168.10385,3.0,58.90078,19.24814,0.0,0.0,89.0077,-7.0,4.0,6.0,23.0,3.0,57.76435,0.0,0.0,0.0,96.07547,92.0,4.0,3.0,4.0,86.945435,1.0
73.0,339.56284,3.0,119.354126,11.479457,1.0,0.0,90.0,54.041924,6.0,6.0,18.0,1.0,59.838432,0.0,1.0,1.0,6.131204,58.98018,0.0,1.0,0.0,30.578657,1.0
71.0,160.71553,10.094486,7.866315,10.902493,0.0,0.0,84.68958,5.280867,6.0,6.0,14.0,1.0,40.764297,0.0,0.0,0.0,6.0,23.43457,1.0,2.0,0.0,27.813366,1.0
73.545586,189.05362,4.0,67.70444,29.0,1.0,0.0,82.76468,1.629016,3.0,5.0,26.0,3.0,11.404931,0.0,4.0,3.0,9.399342,-8.0,3.0,1.0,0.0,30.602892,1.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0
6.2359138,78.91834,15.299722,49.08466,9.0,2.6153352,2.573535,100.0,-7.0,4.0,8.0,2.3222947,0.0,41.732246,0.0,0.0,0.0,-9.0,-8.0,1.0,2.0,0.0,22.496643,1.0
64.0,184.67935,21.250082,108.98766,10.0,2.6852891,2.0,74.735664,33.90047,6.0,4.0,11.0,0.0,96.850174,0.0,1.0,0.0,15.0,37.25129,1.0,2.0,0.0,57.0,1.0
81.0,78.07469,8.0,49.876217,14.0,0.0,0.0,100.0,-7.0,7.0,8.0,29.0,3.0,52.308273,-7.0,0.0,0.0,1.1105369,89.375786,2.0,4.0,0.0,56.0,1.0
76.0,167.51761,5.0,31.65378,4.040451,0.0,0.0,100.0,-7.0,7.0,8.0,0.574069,2.0,40.790676,0.0,4.0,3.0,31.0,-8.0,2.3017056,1.0,0.0,83.9399,1.0
65.86677,-8.0,5.0,67.877914,27.535494,0.0,0.0,100.0,-7.0,7.0,8.0,8.0,2.0,32.523125,0.0,0.0,0.0,87.25361,97.16578,11.469741,6.232414,5.743895,100.0,1.0
60.213596,217.8389,12.0,77.01971,28.121716,0.0,0.0,88.52967,-7.0,4.0,6.0,26.0,0.0,41.824425,0.0,4.0,3.0,112.8887,75.149475,5.0,3.0,2.0,83.0,1.0
57.977093,279.11752,16.085262,115.48912,9.44712,2.0,1.0,-9.0,3.9085658,4.0,4.8605127,10.0,0.0,16.0,0.0,2.0,2.0,90.88149,-8.0,3.0,-8.0,0.0,83.0,1.0
62.0,136.5569,12.0,74.4884,33.397964,0.0,0.0,89.535225,5.0,3.2817602,4.236769,38.548775,1.0,57.236374,0.0,1.0,1.0,83.92711,92.09525,20.78271,3.0,3.0,100.0,1.0
64.0,74.478294,14.0,43.5721,14.0,1.0,1.0,100.0,-7.0,7.0,8.0,19.0,0.0,33.472008,2.9640925,0.0,0.0,84.37828,9.202885,6.0,1.0,3.0,80.0,1.0
67.62029,136.60251,17.0,107.51619,17.0,1.0,1.0,81.47424,43.830524,6.0,3.2640896,17.0,0.0,41.0,-7.0,0.0,0.0,108.268814,69.0027,3.0,2.0,2.0,91.9004,1.0
79.0,195.27246,15.0,84.07607,16.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,0.0,31.323051,-7.0,0.0,0.0,73.90688,-8.0,5.0,2.0,0.0,89.03349,1.0
78.0,79.5423,4.9289846,-3.4989893,13.700456,0.0,0.0,100.0,-7.0,7.0,8.0,12.561778,2.0,56.801678,0.115017965,2.0,2.0,1.0,59.974243,1.0,2.0,0.0,41.063835,1.0
76.0,92.783264,10.44749,31.016928,5.038646,0.0,0.0,100.0,-7.0,7.0,8.0,7.0943727,0.0,37.70137,1.0,0.0,0.0,45.268124,32.665886,2.0,2.0,1.0,77.4581,1.0
80.0,207.80069,2.0,52.097893,11.027074,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,3.0,43.0,0.0,1.0,1.0,17.239298,-8.0,2.0,2.0,0.0,33.0,1.0
-9.0,139.77806,4.0,60.8998,-9.0,1.0,1.0,80.77708,18.677202,0.028575778,6.0,3.6786547,1.0,57.121407,1.0,1.0,1.0,5.5584836,72.38483,1.0,1.0,0.0,90.1416,1.0
88.0,206.65799,4.804091,68.0,14.481021,0.0,0.0,100.0,-7.0,7.0,8.0,12.0,1.0,22.0,6.4508095,0.0,0.0,0.0,-8.0,1.0,1.0,0.0,29.99267,1.0
